[x]	label	desc	unitlist
quantitykind:DonorIonizationEnergy	Donor Ionization Energy	"Donor Ionization Energy" is the ionization energy of a donor.	http://qudt.org/vocab/unit/J
quantitykind:DoseEquivalentQualityFactor	Dose Equivalent Quality Factor	"Dose Equivalent Quality Factor" is a factor in the caculation and measurement of dose equivalent, by which the absorbed dose is to be weighted in order to account for different biological effectiveness of radiations, for radiation protection purposes.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:DynamicFriction	Dynamic Friction	Kinetic (or dynamic) friction occurs when two objects are moving relative to each other and rub together (like a sled on the ground).	http://qudt.org/vocab/unit/UNITLESS
quantitykind:DynamicViscosity	Dynamic Viscosity	A measure of the molecular frictional resistance of a fluid as calculated using Newton's law.	http://qudt.org/vocab/unit/POISE http://qudt.org/vocab/unit/PA-SEC-PER-M http://qudt.org/vocab/unit/CentiP http://qudt.org/vocab/unit/PA-SEC http://qudt.org/vocab/unit/SLUG-PER-FT-SEC http://qudt.org/vocab/unit/LB-PER-FT-SEC http://qudt.org/vocab/unit/LB_F-SEC-PER-IN2 http://qudt.org/vocab/unit/LB_F-SEC-PER-FT2 http://qudt.org/vocab/unit/LB-PER-FT-HR
quantitykind:EffectiveMass	Effective Mass	"Effective Mass" is used in the motional equation for electrons in solid state bodies, depending on the wavenumber and corresponding to its velocity and energy level.	http://qudt.org/vocab/unit/KiloGM
quantitykind:EffectiveMultiplicationFactor	Effective Multiplication Factor	The "Effective Multiplication Factor" is the multiplication factor for a finite medium.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:Efficiency	Efficiency	Efficiency is the ratio of output power to input power.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:ElectricChargeDensity	Electric Charge Density	In electromagnetism, charge density is a measure of electric charge per unit volume of space, in one, two or three dimensions. More specifically: the linear, surface, or volume charge density is the amount of electric charge per unit length, surface area, or volume, respectively.	http://qudt.org/vocab/unit/C-PER-M3
quantitykind:ElectricChargeLinearDensity	Electric Charge Linear Density	In electromagnetism, charge density is a measure of electric charge per unit volume of space, in one, two or three dimensions. More specifically: the linear, surface, or volume charge density is the amount of electric charge per unit length, surface area, or volume, respectively.	http://qudt.org/vocab/unit/C-PER-M
quantitykind:ElectricChargeSurfaceDensity	Electric Charge Surface Density	In electromagnetism, charge density is a measure of electric charge per unit volume of space, in one, two or three dimensions. More specifically: the linear, surface, or volume charge density is the amount of electric charge per unit length, surface area, or volume, respectively.	http://qudt.org/vocab/unit/C-PER-M2
quantitykind:ElectricCurrent	Electric Current	"Electric Current" is the flow (movement) of electric charge. The amount of electric current through some surface, for example, a section through a copper conductor, is defined as the amount of electric charge flowing through that surface over time. Current is a scalar-valued quantity. Electric current is one of the base quantities in the International System of Quantities, ISQ, on which the International System of Units, SI, is based. 	http://qudt.org/vocab/unit/PicoA http://qudt.org/vocab/unit/NanoA http://qudt.org/vocab/unit/A http://qudt.org/vocab/unit/A_Ab http://qudt.org/vocab/unit/PlanckCurrent http://qudt.org/vocab/unit/MicroA http://qudt.org/vocab/unit/A_Stat http://qudt.org/vocab/unit/KiloA http://qudt.org/vocab/unit/MilliA http://qudt.org/vocab/unit/BIOT
quantitykind:ElectricCurrentPerAngle	Electric Current per Angle	"Electric Current Per Angle" is	http://qudt.org/vocab/unit/A-PER-RAD
quantitykind:ElectricCurrentPerUnitEnergy	Electric Current per Unit Energy	"Electric Current per Unit Energy" is	http://qudt.org/vocab/unit/A-PER-J
quantitykind:ElectricCurrentPerUnitTemperature	Electric Current per Unit Temperature	"Electric Current per Unit Temperature" is used to express how a current is subject to temperature. Originally used in Wien's Law to describe phenomena related to filaments. One use today is to express how a current generator derates with temperature.	http://qudt.org/vocab/unit/A-PER-DEG_C
quantitykind:ElectricCurrentPhasor	Electric Current Phasor	"Electric Current Phasor" is a representation of current as a sinusoidal integral quantity using a complex quantity whose argument is equal to the initial phase and whose modulus is equal to the root-mean-square value. A phasor is a constant complex number, usually expressed in exponential form, representing the complex amplitude (magnitude and phase) of a sinusoidal function of time. Phasors are used by electrical engineers to simplify computations involving sinusoids, where they can often reduce a differential equation problem to an algebraic one.	http://qudt.org/vocab/unit/A
quantitykind:ElectricDipoleMoment	Electric Dipole Moment	"Electric Dipole Moment" is a measure of the separation of positive and negative electrical charges in a system of (discrete or continuous) charges. It is a vector-valued quantity. If the system of charges is neutral, that is if the sum of all charges is zero, then the dipole moment of the system is independent of the choice of a reference frame; however in a non-neutral system, such as the dipole moment of a single proton, a dependence on the choice of reference point arises. In such cases it is conventional to choose the reference point to be the center of mass of the system or the center of charge, not some arbitrary origin. This convention ensures that the dipole moment is an intrinsic property of the system. The electric dipole moment of a substance within a domain is the vector sum of electric dipole moments of all electric dipoles included in the domain.	http://qudt.org/vocab/unit/C-M http://qudt.org/vocab/unit/Debye
quantitykind:ElectricField	Electric Field	The space surrounding an electric charge or in the presence of a time-varying magnetic field has a property called an electric field. This electric field exerts a force on other electrically charged objects. In the idealized case, the force exerted between two point charges is inversely proportional to the square of the distance between them. (Coulomb's Law).	http://qudt.org/vocab/unit/V_Stat-PER-CentiM http://qudt.org/vocab/unit/V_Ab-PER-CentiM http://qudt.org/vocab/unit/V-PER-M
quantitykind:ElectricFlux	Electric Flux	"Electric Flux" through an area is defined as the electric field multiplied by the area of the surface projected in a plane perpendicular to the field. Electric Flux is a scalar-valued quantity.	http://qudt.org/vocab/unit/V_Stat-CentiM http://qudt.org/vocab/unit/V-M
quantitykind:ElectricPolarizability	Electric Polarizability	"Electric Polarizability" is the relative tendency of a charge distribution, like the electron cloud of an atom or molecule, to be distorted from its normal shape by an external electric field, which is applied typically by inserting the molecule in a charged parallel-plate capacitor, but may also be caused by the presence of a nearby ion or dipole.	http://qudt.org/vocab/unit/J-PER-MOL
quantitykind:ElectricPolarization	Electric Polarization	"Electric Polarization" is the relative shift of positive and negative electric charge in opposite directions within an insulator, or dielectric, induced by an external electric field. Polarization occurs when an electric field distorts the negative cloud of electrons around positive atomic nuclei in a direction opposite the field. This slight separation of charge makes one side of the atom somewhat positive and the opposite side somewhat negative. In some materials whose molecules are permanently polarized by chemical forces, such as water molecules, some of the polarization is caused by molecules rotating into the same alignment under the influence of the electric field. One of the measures of polarization is electric dipole moment, which equals the distance between the slightly shifted centres of positive and negative charge multiplied by the amount of one of the charges. Polarization P in its quantitative meaning is the amount of dipole moment p per unit volume V of a polarized material, P = p/V.	http://qudt.org/vocab/unit/C-PER-M2
quantitykind:ElectricQuadrupoleMoment	Electric Quadrupole Moment	The Electric Quadrupole Moment is a quantity which describes the effective shape of the ellipsoid of nuclear charge distribution. A non-zero quadrupole moment Q indicates that the charge distribution is not spherically symmetric. By convention, the value of Q is taken to be positive if the ellipsoid is prolate and negative if it is oblate. In general, the electric quadrupole moment is tensor-valued.	http://qudt.org/vocab/unit/C-M2
quantitykind:ElectricSusceptibility	Electric Susceptibility	"Electric Susceptibility" is the ratio of electric polarization to electric field strength, normalized to the electric constant. The definition applies to an isotropic medium. For an anisotropic medium, electric susceptibility is a second order tensor.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:ElectrolyticConductivity	Electrolytic Conductivity	"Electrolytic Conductivity" of an electrolyte solution is a measure of its ability to conduct electricity.	http://qudt.org/vocab/unit/S-PER-M
quantitykind:ElectromagneticWavePhaseSpeed	Electromagnetic Wave Phase Speed	"Electromagnetic Wave Phase Speed" is the ratio of angular velocity and wavenumber.	http://qudt.org/vocab/unit/M-PER-SEC
quantitykind:ElectronAffinity	Electron Affinity	"Electron Affinity" is the energy difference between an electron at rest at infinity and an electron at the lowest level of the conduction band in an insulator or semiconductor. The the amount of energy released when an electron is added to a neutral atom or molecule to form a negative ion.	http://qudt.org/vocab/unit/J
quantitykind:ElectronDensity	Electron Density	"Electron Density" is the number of electrons per volume in conduction bands. It is the measure of the probability of an electron being present at a specific location.	http://qudt.org/vocab/unit/PER-M3
quantitykind:ElectronMeanFreePath	Electron Mean Free Path	"Electron Mean Free Path" is the mean free path of electrons.	http://qudt.org/vocab/unit/M
quantitykind:ElectronRadius	Electron Radius	"Electron Radius", also known as the Lorentz radius or the Thomson scattering length, is based on a classical (i.e., non-quantum) relativistic model of the electron.	http://qudt.org/vocab/unit/M
quantitykind:ElementaryCharge	Elementary Charge	The "Elementary Charge" is the electric charge carried by a single proton, or equivalently, the negation (opposite) of the electric charge carried by a single electron.	http://qudt.org/vocab/unit/C
quantitykind:Energy	Energy	Energy is the quantity characterizing the ability of a system to do work.	http://qudt.org/vocab/unit/J
quantitykind:EnergyDensity	Energy Density	Energy density is defined as energy per unit volume. The SI unit for energy density is the joule per cubic meter.	http://qudt.org/vocab/unit/BTU_TH-PER-FT3 http://qudt.org/vocab/unit/J-PER-M3 http://qudt.org/vocab/unit/BTU_IT-PER-FT3 http://qudt.org/vocab/unit/ERG-PER-CentiM3
quantitykind:EnergyDensityOfStates	Energy Density of States	"Energy Density of States" refers to electrons or other entities, e.g. phonons. It can, for example, refer to amount of substance instead of volume.	http://qudt.org/vocab/unit/PER-J-M3
quantitykind:EnergyFluence	Energy Fluence	"Energy Fluence" can be used to describe the energy delivered per unit area	http://qudt.org/vocab/unit/J-PER-M2
quantitykind:EnergyFluenceRate	Energy Fluence Rate	"Energy Fluence Rate" can be used to describe the energy fluence delivered per unit time.	http://qudt.org/vocab/unit/W-PER-M2
quantitykind:EnergyImparted	Energy Imparted	The "Energy Imparted", is a physical quantity associated with the energy delivered to a particular volume of matter by all the directly and indirectly ionizing particles (i.e. charged and uncharged) entering that volume.	http://qudt.org/vocab/unit/J
quantitykind:EnergyLevel	Energy Level	"Energy Level" is the ionization energy for an electron at the Fermi energy in the interior of a substance.	http://qudt.org/vocab/unit/J
quantitykind:EnergyPerArea	Energy per Area	Energy per unit area is a measure of the energy either impinging upon or generated from a given unit of area. This can be a measure of the "toughness" of a material, being the amount of energy that needs to be applied per unit area of a crack to cause it to fracture. This is a constant for a given material..	http://qudt.org/vocab/unit/FT-LB_F-PER-M2 http://qudt.org/vocab/unit/FT-LB_F-PER-FT2 http://qudt.org/vocab/unit/BTU_IT-PER-FT2 http://qudt.org/vocab/unit/KiloCAL-PER-CentiM2 http://qudt.org/vocab/unit/J-PER-M2
quantitykind:EnergyPerAreaElectricCharge	Energy Per Area Electric Charge	"Energy Per Area Electric Charge" is the amount of electric energy associated with a unit of area.	http://qudt.org/vocab/unit/V-PER-M2
quantitykind:EnergyPerSquareMagneticFluxDensity	Energy Per Square Magnetic Flux Density	"Energy Per Square Magnetic Flux Density" is a measure of energy for a unit of magnetic flux density.	http://qudt.org/vocab/unit/J-PER-T2
quantitykind:Enthalpy	Enthalpy	In thermodynamics, "enthalpy} is the sum of the internal energy \(U\) and the product of pressure \(p\) and volume \(V\) of a system. The characteristic function (also known as thermodynamic potential) \textit{enthalpy} used to be called \textit{heat contents}, which is why it is conventionally indicated by \(H\). The specific enthalpy of a working mass is a property of that mass used in thermodynamics, defined as \(h=u+p \cdot v\),  where \(u\) is the specific internal energy, \(p\) is the pressure, and \(v\) is specific volume. In other words, \(h = H / m\) where \(m\) is the mass of the system. The SI unit for \textit{Specific Enthalpy} is \textit{joules per kilogram".	http://qudt.org/vocab/unit/J
quantitykind:EquilibriumConstantOnPressureBasis	Equilibrium Constant on Pressure Basis	The "Equlilbrium Constant", also known as the thermodynamic equilibrium constant, is an expression that gives us a ratio of the products and reactants of a reaction at equilibrium with respect to a specific unit.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:EquilibriumPositionVectorOfIon	Equilibrium Position Vector of Ion	"Equilibrium Position Vector of Ion" is the position vector of a particle in equilibrium.	http://qudt.org/vocab/unit/M
quantitykind:EquivalentAbsorptionArea	Equivalent absorption area	In a diffuse sound field, the Equivalent Absorption Area is that area of a surface having an absorption factor equal to 1, which, if diffraction effects are neglected, would, in the same diffuse sound field, absorb the same power.	http://qudt.org/vocab/unit/M2
quantitykind:EvaporativeHeatTransferCoefficient	Combined Non Evaporative Heat Transfer Coefficient	"Evaporative Heat Transfer Coefficient" is the areic heat transfer coefficient multiplied by the water vapor pressure difference between skind and the environment, and by the exchange area.	http://qudt.org/vocab/unit/W-PER-M2-PA
quantitykind:ExchangeIntegral	Exchange Integral	"Exchange Integral" is the constituent of the interaction energy between the spins of adjacent electrons in matter arising from the overlap of electron state functions.	http://qudt.org/vocab/unit/J
quantitykind:Exposure	Exposure	"Exposure" reflects the extent of ionization events taking place when air is irradiated by ionizing photons (gamma radiation and/or x rays). In photography, exposure is the amount of light allowed to fall on each area unit of a photographic medium (photographic film or image sensor) during the process of taking a photograph. Exposure is measured in lux seconds, and can be computed from exposure value (EV) and scene luminance in a specified region.	http://qudt.org/vocab/unit/R http://qudt.org/vocab/unit/C-PER-KiloGM
quantitykind:ExposureRate	Exposure Rate	"Exposure Rate" expresses the rate of charge production per unit mass of air and is commonly expressed in roentgens per hour (R/h) or milliroentgens per hour (mR/h).	http://qudt.org/vocab/unit/C-PER-KiloGM-SEC
quantitykind:ExtentOfReaction	Extent of Reaction	In physical chemistry, the "Extent of Reaction" is a quantity that measures the extent in which the reaction proceeds.	http://qudt.org/vocab/unit/MOL
quantitykind:FastFissionFactor	Fast Fission Factor	"Fast Fission Factor" in an infinite medium, is the ratio of the mean number of neutrons produced by fission due to neutrons of all energies to the mean number of neutrons produced by fissions due to thermal neutrons only.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:FermiEnergy	Fermi Energy	"Fermi Energy" in a metal is the highest occupied energy level at zero thermodynamic temperature.	http://qudt.org/vocab/unit/J
quantitykind:ForceMagnitude	Force Magnitude	The 'magnitude' of a force is its 'size' or 'strength', regardless of the direction in which it acts.	http://qudt.org/vocab/unit/J http://qudt.org/vocab/unit/ERG
quantitykind:ForcePerArea	Force Per Area	The force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)	http://qudt.org/vocab/unit/MegaBAR http://qudt.org/vocab/unit/KiloGM_F-PER-CentiM2 http://qudt.org/vocab/unit/MilliBAR http://qudt.org/vocab/unit/BAR http://qudt.org/vocab/unit/ATM_T http://qudt.org/vocab/unit/KIP_F-PER-IN2 http://qudt.org/vocab/unit/PDL-PER-FT2 http://qudt.org/vocab/unit/KiloBAR http://qudt.org/vocab/unit/CentiBAR http://qudt.org/vocab/unit/PlanckPressure http://qudt.org/vocab/unit/MilliTORR http://qudt.org/vocab/unit/KiloPA_A http://qudt.org/vocab/unit/FT_H2O http://qudt.org/vocab/unit/TORR http://qudt.org/vocab/unit/N-PER-M2 http://qudt.org/vocab/unit/PA http://qudt.org/vocab/unit/MilliM_HGA http://qudt.org/vocab/unit/MicroTORR http://qudt.org/vocab/unit/ATM http://qudt.org/vocab/unit/DeciBAR http://qudt.org/vocab/unit/CM_H2O http://qudt.org/vocab/unit/LB_F-PER-IN2 http://qudt.org/vocab/unit/IN_AQ http://qudt.org/vocab/unit/HectoPA http://qudt.org/vocab/unit/KiloPA http://qudt.org/vocab/unit/DYN-PER-CentiM2 http://qudt.org/vocab/unit/MilliM_HG http://qudt.org/vocab/unit/IN_HG http://qudt.org/vocab/unit/LB_F-PER-FT2
quantitykind:Fugacity	Fugacity	"Fugacity" of a real gas is an effective pressure which replaces the true mechanical pressure in accurate chemical equilibrium calculations. It is equal to the pressure of an ideal gas which has the same chemical potential as the real gas.	http://qudt.org/vocab/unit/PA
quantitykind:FundamentalLatticeVector	Fundamental Lattice vector	"Fundamental Lattice vector" are fundamental translation vectors for the crystal lattice.	http://qudt.org/vocab/unit/M
quantitykind:FundamentalReciprocalLatticeVector	Fundamental Reciprocal Lattice Vector	"Fundamental Reciprocal Lattice Vector" are fundamental, or primary, translation vectors the reciprocal lattice.	http://qudt.org/vocab/unit/PER-M
quantitykind:GFactorOfNucleus	g-Factor of Nucleus	The "g-Factor of Nucleus" is associated with the spin and magnetic moments of protons, neutrons, and many nuclei.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:GapEnergy	Gap Energy	"Gap Energy" is the difference in energy between the lowest level of conduction band and the highest level of valence band. It is an energy range in a solid where no electron states can exist.	http://qudt.org/vocab/unit/J
quantitykind:GeneralizedCoordinate	Generalized Coordinate	Generalized Coordinates refers to the parameters that describe the configuration of the system relative to some reference configuration. These parameters must uniquely define the configuration of the system relative to the reference configuration.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:GeneralizedForce	Generalized Force	Generalized Forces find use in Lagrangian mechanics, where they play a role conjugate to generalized coordinates.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:GeneralizedMomentum	Generalized Force	Generalized Momentum, also known as the canonical or conjugate momentum, extends the concepts of both linear momentum and angular momentum. To distinguish it from generalized momentum, the product of mass and velocity is also referred to as mechanical, kinetic or kinematic momentum.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:GeneralizedVelocity	Generalized Velocity	Generalized Velocities are the time derivatives of the generalized coordinates of the system.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:GibbsEnergy	Gibbs Energy	"Gibbs Energy} is one of the potentials are used to measure energy changes in systems as they evolve from an initial state to a final state. The potential used depends on the constraints of the system, such as constant temperature or pressure. \textit{Internal Energy} is the internal energy of the system, \textit{Enthalpy} is the internal energy of the system plus the energy related to pressure-volume work, and Helmholtz and Gibbs free energy are the energies available in a system to do useful work when the temperature and volume or the pressure and temperature are fixed, respectively. The name \textit{Gibbs Free Energy" is also used.	http://qudt.org/vocab/unit/J
quantitykind:GrandCanonicalPartitionFunction	Grand Canonical Partition Function	An "Grand Canonical Partition Function" for a grand canonical ensemble, a system that can exchange both heat and particles with the environment, which has a constant temperature and a chemical potential.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:GravitationalAttraction	Gravitational Attraction	The force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface; the more remote the body the less the gravity; the gravitation between two bodies is proportional to the product of their masses and inversely proportional to the square of the distance between them.	http://qudt.org/vocab/unit/M3-PER-KiloGM-SEC2
quantitykind:Gravity_API	API Gravity	The American Petroleum Institute gravity, or API gravity, is a measure of how heavy or light a petroleum liquid is compared to water: if its API gravity is greater than 10, it is lighter and floats on water; if less than 10, it is heavier and sinks.    API gravity is thus an inverse measure of a petroleum liquid's density relative to that of water (also known as specific gravity). It is used to compare densities of petroleum liquids. For example, if one petroleum liquid is less dense than another, it has a greater API gravity. Although API gravity is mathematically a dimensionless quantity (see the formula below), it is referred to as being in 'degrees'. API gravity is graduated in degrees on a hydrometer instrument. API gravity values of most petroleum liquids fall between 10 and 70 degrees.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:GroupSpeedOfSound	Group Speed of Sound	In a dispersive medium sound speed is a function of sound frequency, through the dispersion relation. The spatial and temporal distribution of a propagating disturbance will continually change. The group speed of sound describes the propagation of the disturbance.	http://qudt.org/vocab/unit/M-PER-SEC
quantitykind:GruneisenParameter	Gruneisen Parameter	"Gruneisen Parameter" named after Eduard Grüneisen, describes the effect that changing the volume of a crystal lattice has on its vibrational properties, and, as a consequence, the effect that changing temperature has on the size or dynamics of the lattice.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:Half-ValueThickness	Half-Value Thickness	The "Half-Value Thickness" is the thickness of the material at which the intensity of radiation entering it is reduced by one half.	http://qudt.org/vocab/unit/M
quantitykind:HallCoefficient	Hall Coefficient	"Hall Coefficient" is defined as the ratio of the induced electric field to the product of the current density and the applied magnetic field.	http://qudt.org/vocab/unit/M3-PER-C
quantitykind:HamiltonFunction	Hamilton Function	The Hamilton–Jacobi equation (HJE) is a necessary condition describing extremal geometry in generalizations of problems from the calculus of variations.	http://qudt.org/vocab/unit/J
quantitykind:HeartRate	Heart Rate	The number of heartbeats per unit of time, usually per minute. The heart rate is based on the number of contractions of the ventricles (the lower chambers of the heart). The heart rate may be too fast (tachycardia) or too slow (bradycardia). The average adult pulse rate at rest is 60–80 per minute, but exercise, injury, illness, and emotion may produce much faster rates.	http://qudt.org/vocab/unit/BEAT-PER-MIN
quantitykind:Heat	Heat	"Heat" is the energy transferred by a thermal process.  Heat can be measured in terms of the dynamical units of energy, as the erg, joule, etc., or in terms of the amount of energy required to produce a definite thermal change in some substance, as, for example, the energy required per degree to raise the temperature of a unit mass of water at some temperature ( calorie, Btu).	http://qudt.org/vocab/unit/J
quantitykind:Height	Height	"Height" is the measurement of vertical distance, but has two meanings in common use. It can either indicate how "tall" something is, or how "high up" it is.	http://qudt.org/vocab/unit/M
quantitykind:HelmholtzEnergy	Helmholtz Energy	"Helmholtz Energy} is one of the potentials are used to measure energy changes in systems as they evolve from an initial state to a final state. The potential used depends on the constraints of the system, such as constant temperature or pressure. \textit{Internal Energy} is the internal energy of the system, \textit{Enthalpy} is the internal energy of the system plus the energy related to pressure-volume work, and Helmholtz and Gibbs free energy are the energies available in a system to do useful work when the temperature and volume or the pressure and temperature are fixed, respectively. The name \textit{Helmholz Free Energy" is also used.	http://qudt.org/vocab/unit/J
quantitykind:HoleDensity	Hole Density	"Hole Density" is the number of holes per volume in a valence band.	http://qudt.org/vocab/unit/PER-M3
quantitykind:HyperfineStructureQuantumNumber	Hyperfine Structure Quantum Number	The "Hyperfine Structure Quantum Number" is a quantum number of an atom describing inclination of the nuclear spin with respect to a quantization axis given by the magnetic field produced by the orbital electrons.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:Impedance	Impedance	"Impedance" is the measure of the opposition that a circuit presents to the passage of a current when a voltage is applied. In quantitative terms, it is the complex ratio of the voltage to the current in an alternating current (AC) circuit. Impedance extends the concept of resistance to AC circuits, and possesses both magnitude and phase, unlike resistance, which has only magnitude. When a circuit is driven with direct current (DC), there is no distinction between impedance and resistance; the latter can be thought of as impedance with zero phase angle.	http://qudt.org/vocab/unit/OHM
quantitykind:Inductance	Inductance	"Inductance" is an electromagentic quantity that characterizes a circuit's resistance to any change of electric current; a change in the electric current through induces an opposing electromotive force (EMF). Quantitatively, inductance is proportional to the magnetic flux per unit of electric current.	http://qudt.org/vocab/unit/H_Stat http://qudt.org/vocab/unit/MilliH http://qudt.org/vocab/unit/H http://qudt.org/vocab/unit/MicroH http://qudt.org/vocab/unit/H_Ab
quantitykind:InfiniteMultiplicationFactor	Infinite Multiplication Factor	The "Infinite Multiplication Factor" is the multiplication factor for an infinite medium or for an infinite repeating lattice.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:InformationEntropy	Information Entropy	Information Entropy is a concept from information theory. It tells how much information there is in an event. In general, the more uncertain or random the event is, the more information it will contain. The concept of information entropy was created by a mathematician. He was named Claude Elwood Shannon. It has applications in many areas, including lossless data compression, statistical inference, cryptography and recently in other disciplines as biology, physics or machine learning.	http://qudt.org/vocab/unit/BIT http://qudt.org/vocab/unit/SHANNON http://qudt.org/vocab/unit/ERLANG http://qudt.org/vocab/unit/NAT-PER-SEC http://qudt.org/vocab/unit/HART http://qudt.org/vocab/unit/NAT http://qudt.org/vocab/unit/BYTE http://qudt.org/vocab/unit/BAN
quantitykind:InternalConversionFactor	InternalConversionFactor	The "InternalConversionFactor" describes the rate of internal conversion. It is the ratio of the number of internal conversion electrons to the number of gamma quanta emitted by the radioactive atom in a given transition.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:InternalEnergy	Internal Energy	"Internal Energy} is simply its energy. \textit{internal" refers to the fact that some energy contributions are not considered. For instance, when the total system is in uniform motion, it has kinetic energy. This overall kinetic energy is never seen as part of the internal energy; one could call it external energy. Or, if the system is at constant non-zero height above the surface the Earth, it has constant potential energy in the gravitational field of the Earth. Gravitational energy is only taken into account when it plays a role in the phenomenon of interest, for instance in a colloidal suspension, where the gravitation influences the up- downward motion of the small particles comprising the colloid. In all other cases, gravitational energy is assumed not to contribute to the internal energy; one may call it again external energy.	http://qudt.org/vocab/unit/J
quantitykind:IntinsicCarrierDensity	Intinsic Carrier Density	"Intinsic Carrier Density" is proportional to electron and hole densities.	http://qudt.org/vocab/unit/PER-M3
quantitykind:InverseMagneticFlux	Inverse Magnetic Flux	"Inverse Magnetic Flux" is	http://qudt.org/vocab/unit/HZ-PER-V
quantitykind:InversePermittivity	Inverse Permittivity	"Inverse Permittivity" is	http://qudt.org/vocab/unit/M-PER-FARAD
quantitykind:IonDensity	Ion Density	"Ion Density" is the number of ions per unit volume. Also known as ion concentration.	http://qudt.org/vocab/unit/PER-M3
quantitykind:IonTransportNumber	Ion Transport Number	The "Ion Transport Number" is a quantity which indicates the different contribution of ions to the electric current in electrolytes due to different electrical mobility.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:IonicStrength	Ionic Strength	The "Ionic Strength" of a solution is a measure of the concentration of ions in that solution.	http://qudt.org/vocab/unit/MOL-PER-KiloGM
quantitykind:IonizationEnergy	Ionization Energy	"Ionization Energy" is the energy difference between an electron at rest at infinity and an electron at a certain energy level. The amount of energy required to remove an electron from that atom or molecule in the gas phase.	http://qudt.org/vocab/unit/J
quantitykind:Irradiance	Irradiance	Irradiance and Radiant Emittance are radiometry terms for the power per unit area of electromagnetic radiation at a surface. "Irradiance" is used when the electromagnetic radiation is incident on the surface. "Radiant emmitance" (or "radiant exitance") is used when the radiation is emerging from the surface.	http://qudt.org/vocab/unit/W-PER-M2
quantitykind:IsentropicCompressibility	Isentropic Compressibility	Isentropic compressibility is the extent to which a material reduces its volume when it is subjected to compressive stresses at a constant value of entropy.	http://qudt.org/vocab/unit/PER-PA
quantitykind:IsothermalCompressibility	Isothermal compressibility	The isothermal compressibility defines the rate of change of system volume with pressure.	http://qudt.org/vocab/unit/PER-PA
quantitykind:Kerma	Kerma	"Kerma" is the sum of the initial kinetic energies of all the charged particles liberated by uncharged ionizing radiation (i.e., indirectly ionizing radiation such as photons and neutrons) in a sample of matter, divided by the mass of the sample.	http://qudt.org/vocab/unit/GRAY
quantitykind:KermaRate	Kerma Rate	"Kerma Rate" is the kerma per unit time.	http://qudt.org/vocab/unit/GRAY-PER-SEC
quantitykind:KineticEnergy	Kinetic Energy	"Kinetic Energy} is the energy which a body possesses as a consequence of its motion, defined as one-half the product of its mass \(m\) and the square of its speed \(v\), \( 1/2 mv^{2} \). The kinetic energy per unit volume of a fluid parcel is the \(1/2 p v^{2}\) , where \(p\) is the density and \(v\) the speed of the parcel. See potential energy. For relativistic speeds the kinetic energy is given by \(Ek = mc^{2} - m0c^{2"\), where \(c\) is the velocity of light in a vacuum, \(m0\) is the rest mass, and \(m\) is the moving mass.	http://qudt.org/vocab/unit/J
quantitykind:LagrangeFunction	Lagrange Function	The Lagrange Function is a function that summarizes the dynamics of the system.	http://qudt.org/vocab/unit/J
quantitykind:Landau-GinzburgNumber	Landau-Ginzburg Number	"Landau-Ginzburg Number", also known as the Ginzburg-Landau parameter, describes the relationship between London penetration depth and coherence length.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:LandeGFactor	Lande g-Factor	The "Lande g-Factor" is a particular example of a g-factor, namely for an electron with both spin and orbital angular momenta. It is named after Alfred Landé, who first described it in 1921.	http://qudt.org/vocab/unit/UNITLESS
quantitykind:LatticePlaneSpacing	Lattice Plane Spacing	"Lattice Plane Spacing" is the distance between successive lattice planes.	http://qudt.org/vocab/unit/M
quantitykind:LatticeVector	Lattice Vector	"Lattice Vector" is a translation vector that maps the crystal lattice on itself.	http://qudt.org/vocab/unit/M
quantitykind:LeakageFactor	Leakage Factor	"Leakage Factor" is the ratio of the total magnetic flux to the useful magnetic flux of a magnetic circuit.	http://qudt.org/vocab/unit/UNITLESS
